9001	Plus Humain cherche un(e) Responsable des ventes et du développement des affaires, à Terrebonne. http://www.grenier.qc.ca/emplois/36588/responsable-des-ventes-et-du-developpement-des-affairesa	1544976658904400	\N	0	Plus Humain - Agence Web 	8951	https://www.facebook.com/PlusHumain/posts/1544976658904400	???/???/????                    
9002	…web agency recrute Infographistes Profil: une agence web marketing cherche des infographistes qui maîtrisent photoshop , illustrator , after effect … Comment postuler : Veuillez nous contacter sur 25 282 039 Ville : nabeul Nom / Entreprise : the rocket web agency Email : yesminesethom12@gmail.com Tel Source : tunisietravail.net https://www.tunisietravail.net/the-rocket-web-agency-recrute-infographistes-77036/	2126790910689855	\N	0	Tunisie Travail 	8951	https://www.facebook.com/tunisietravail/posts/2126790910689855	?? ?????                        
9003	 Besoin d'un développeur web pour la migration de mon site e-commerce PrestaShop.	24842	\N	1	 Migration site web e-commerce PrestaShop (24842)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24842	27/08/2019                      
9004	 Recherche développeur web et mobile pour la réalisation d'une application de mise en relation entre clients et prestataires	24850	\N	1	 Conception plateforme web et application mobile mise en relation entre clients et prestataires (24850)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24850	28/08/2019                      
9005	 Besoin un programmeur expert pour le développement d'un module de messagerie instantanée.	24464	\N	1	 Developpeur web expert PHP J-Query MySQL Bootstrap pour creation module de messagerie instantanee - chat entre collaborateurs entreprise (24464)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24464	08/07/2019                      
9006	 Création de blog pour les pronostics pmu	24463	\N	1	 Developpeur web creation blog pronostics courses hippiques  (24463)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24463	08/07/2019                      
9007	 Besoin d'un développeur d'un web pour sécuriser et corriger mon site web et application web.	24590	\N	1	  Maintenance corrective et securisation site application web  (24590)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24590	23/07/2019                      
9008	 Optimisation de la qualité de référencement d'un site e-commerce pour le compte d'une agence web.	24588	\N	0	 Recherche expert SEO mission de referencement en Freelance  (24588)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24588	22/07/2019                      
9009	 Nous recherchons un Développeur web expert WinDev WebDev freelance.	24457	\N	1	 Developpeur web expert WinDev WebDev freelance developpement interface S40 SAB pour modernisation en secteur bancaire (24457)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24457	18/07/2019                      
9010	 Développeur expert pour création API sur mesure pour entreprise	24496	\N	1	 Developpeur web expert creation API et support technique pour la gestion des restaurants (24496)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24496	11/07/2019                      
9011	 besoin de développeur web pour la mise à niveau de notre site internet sous Shopify	24459	\N	1	 Developpeur web Shopify mise en place formulaire abonnement plus refonte site internet entreprise (24459)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24459	05/07/2019                      
9012	 Création de site internet pour notre imprimerie.	24545	\N	1	 Developpeur web creation site vitrine imprimerie  (24545)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24545	17/07/2019                      
9013	 Creation de site Prestashop pour notre boutique	24480	\N	1	 Developpeur web PrestaShop creation site e-commerce entreprise  (24480)\nVous êtes déjà en contact avec ce client, et son projet se trouve déjà dans la liste de vos projets.	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24480	09/07/2019                      
9014	 Besoin d'un développeur pour la création d'une application multi-plateforme.	24562	\N	1	 Developpeur App web Android iOS entreprise  (24562)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24562	18/07/2019                      
9015	 Recherche développeur web pour conception d'une application semblable au comparateur de prix d'hôtel.	24831	\N	1	 Developpement application web comparateur de prix (24831)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24831	26/08/2019                      
9016	 Recherche un développeur web pour l'ajout de la fonctionnalité Marketplace à mon site e-commerce sous PrestaShop.	24830	\N	1	 Mise a niveau site web PrestaShop (24830)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24830	26/08/2019                      
9017	 Besoin d'un développeur web expert en création de site sous Wix pour finaliser le site de notre association.	24825	\N	1	 Finalisation site web vitrine pour association  (24825)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24825	26/08/2019                      
9018	 Création de site web portail immobilier pour entreprise.	24525	\N	1	 Developpeur web creation site internet Portail agence immobiliere  (24525)	8952	https://www.progonline.com/ajax/mypage.php?quoi=voir_projet&id=24525	15/07/2019                      
